osm_id,osm_type,name,phone,email,website,street,city,state,postcode,category,lat,lon,strategy,primary_flaw,flaw_count,score,grade,report_json,demo_url,website_status,review_sentiment
5521982890,node,DC Capital Group USA,+1-407-907-6442,dccapitalgroupusa@gmail.com,https://webuyhousesorlandoflorida.com/,North Orange Avenue,Orlando,Florida,32801,office=estate_agent,28.5428195,-81.3789214,website_upgrade,Sluggish load time (1.5s),1,85.0,B,"{""score"": 85, ""grade"": ""B"", ""is_protected"": false, ""error"": null, ""checks"": [{""id"": ""ssl"", ""title"": ""Valid HTTPS"", ""status"": ""pass"", ""detail"": ""Site is served securely over HTTPS."", ""recommendation"": """"}, {""id"": ""speed"", ""title"": ""Sluggish load time (1.5s)"", ""status"": ""fail"", ""detail"": ""Server response is slower than the ~1s users expect."", ""recommendation"": ""Enable caching/CDN and compress assets to cut response time.""}, {""id"": ""mobile"", ""title"": ""Mobile responsive"", ""status"": ""pass"", ""detail"": ""Viewport meta tag is present."", ""recommendation"": """"}, {""id"": ""seo_title"", ""title"": ""Page title present"", ""status"": ""pass"", ""detail"": ""Title: \""Sell My House Fast in Orlando | We Buy Houses for Cash in Or\"""", ""recommendation"": """"}, {""id"": ""seo_meta"", ""title"": ""Meta description present"", ""status"": ""pass"", ""detail"": ""Search snippet is controlled, not auto-generated."", ""recommendation"": """"}, {""id"": ""seo_h1"", ""title"": ""Primary heading (H1) present"", ""status"": ""pass"", ""detail"": ""Clear page hierarchy for SEO."", ""recommendation"": """"}, {""id"": ""favicon"", ""title"": ""Favicon present"", ""status"": ""pass"", ""detail"": ""Browser tab branding is set."", ""recommendation"": """"}, {""id"": ""social_tags"", ""title"": ""Social share tags present"", ""status"": ""pass"", ""detail"": ""Links preview correctly on social/chat apps."", ""recommendation"": """"}], ""flaw_count"": 1, ""primary_flaw"": ""Sluggish load time (1.5s)""}",https://demo-site-beige-eight.vercel.app/?biz=DC+Capital+Group+USA&city=Orlando&cat=office%3Destate_agent&phone=%2B1-407-907-6442&report=eyJzY29yZSI6IDg1LCAiZ3JhZGUiOiAiQiIsICJpc3N1ZXMiOiBbIlNsdWdnaXNoIGxvYWQgdGltZSAoMS41cykiXX0%3D,Grade B (85.0/100) — Sluggish load time (1.5s),Mixed reviews.
5971936518,node,Re/Max Downtown,+1 407-625-5583,,https://www.floridaishome.com/,North Garland Avenue,Orlando,Florida,32801,office=estate_agent,28.5564402,-81.3807014,website_upgrade,protected_asset,0,70.0,C,"{""score"": 70, ""grade"": ""C"", ""is_protected"": true, ""error"": null, ""checks"": [], ""flaw_count"": 0, ""primary_flaw"": ""protected_asset""}",https://demo-site-beige-eight.vercel.app/?biz=Re%2FMax+Downtown&city=Orlando&cat=office%3Destate_agent&phone=%2B1+407-625-5583&report=eyJzY29yZSI6IDcwLCAiZ3JhZGUiOiAiQyIsICJpc3N1ZXMiOiBbXX0%3D,Protected/could not fully audit,Mixed reviews.
6207441818,node,Buyers Broker of Florida,+1-407-539-1053,orlandofloridaluxuryhomes@gmail.com,https://orlandorealestatebuyeragent.com/,South Street,Fern Park,Florida,32730,office=estate_agent,28.6541773,-81.3537637,website_upgrade,Website is unreachable or down,1,0.0,F,"{""score"": 0, ""grade"": ""F"", ""is_protected"": false, ""error"": ""Connection Failed"", ""checks"": [{""id"": ""uptime"", ""title"": ""Website is unreachable or down"", ""status"": ""fail"", ""detail"": ""The server refused the connection."", ""recommendation"": ""Verify hosting/DNS is active; migrate to reliable hosting.""}], ""flaw_count"": 1, ""primary_flaw"": ""Website is unreachable or down""}",https://demo-site-beige-eight.vercel.app/?biz=Buyers+Broker+of+Florida&city=Fern+Park&cat=office%3Destate_agent&phone=%2B1-407-539-1053&report=eyJzY29yZSI6IDAsICJncmFkZSI6ICJGIiwgImlzc3VlcyI6IFsiV2Vic2l0ZSBpcyB1bnJlYWNoYWJsZSBvciBkb3duIl19,Grade F (0.0/100) — Website is unreachable or down,Mixed reviews.
6814285886,node,American Homes 4 Rent,+1-407-233-0013,,https://www.americanhomes4rent.com/,Kirkman Road,Orlando,Florida,32819,office=estate_agent,28.4842857,-81.457588,website_upgrade,Sluggish load time (1.5s),2,75.0,B,"{""score"": 75, ""grade"": ""B"", ""is_protected"": false, ""error"": null, ""checks"": [{""id"": ""ssl"", ""title"": ""Valid HTTPS"", ""status"": ""pass"", ""detail"": ""Site is served securely over HTTPS."", ""recommendation"": """"}, {""id"": ""speed"", ""title"": ""Sluggish load time (1.5s)"", ""status"": ""fail"", ""detail"": ""Server response is slower than the ~1s users expect."", ""recommendation"": ""Enable caching/CDN and compress assets to cut response time.""}, {""id"": ""mobile"", ""title"": ""Mobile responsive"", ""status"": ""pass"", ""detail"": ""Viewport meta tag is present."", ""recommendation"": """"}, {""id"": ""seo_title"", ""title"": ""Page title present"", ""status"": ""pass"", ""detail"": ""Title: \""Houses for Rent | AMH Homes\"""", ""recommendation"": """"}, {""id"": ""seo_meta"", ""title"": ""Meta description present"", ""status"": ""pass"", ""detail"": ""Search snippet is controlled, not auto-generated."", ""recommendation"": """"}, {""id"": ""seo_h1"", ""title"": ""Missing primary heading (H1)"", ""status"": ""fail"", ""detail"": ""No H1 \u2014 search engines can't tell what the page is about."", ""recommendation"": ""Add one clear, keyword-relevant H1 per page.""}, {""id"": ""favicon"", ""title"": ""Favicon present"", ""status"": ""pass"", ""detail"": ""Browser tab branding is set."", ""recommendation"": """"}, {""id"": ""social_tags"", ""title"": ""Social share tags present"", ""status"": ""pass"", ""detail"": ""Links preview correctly on social/chat apps."", ""recommendation"": """"}], ""flaw_count"": 2, ""primary_flaw"": ""Sluggish load time (1.5s)""}",https://demo-site-beige-eight.vercel.app/?biz=American+Homes+4+Rent&city=Orlando&cat=office%3Destate_agent&phone=%2B1-407-233-0013&report=eyJzY29yZSI6IDc1LCAiZ3JhZGUiOiAiQiIsICJpc3N1ZXMiOiBbIlNsdWdnaXNoIGxvYWQgdGltZSAoMS41cykiLCAiTWlzc2luZyBwcmltYXJ5IGhlYWRpbmcgKEgxKSJdfQ%3D%3D,Grade B (75.0/100) — Sluggish load time (1.5s),Mixed reviews.
7304000969,node,Great Jones,+1-321-766-9360,hello@greatjones.co,https://www.greatjones.co/greater-orlando,Dr. Phillips Boulevard,Orlando,Florida,32819,office=estate_agent,28.4526937,-81.4875178,website_upgrade,Missing meta description,2,80.0,B,"{""score"": 80, ""grade"": ""B"", ""is_protected"": false, ""error"": null, ""checks"": [{""id"": ""ssl"", ""title"": ""Valid HTTPS"", ""status"": ""pass"", ""detail"": ""Site is served securely over HTTPS."", ""recommendation"": """"}, {""id"": ""speed"", ""title"": ""Fast server response"", ""status"": ""pass"", ""detail"": ""Time-to-first-byte was 0.73s."", ""recommendation"": """"}, {""id"": ""mobile"", ""title"": ""Mobile responsive"", ""status"": ""pass"", ""detail"": ""Viewport meta tag is present."", ""recommendation"": """"}, {""id"": ""seo_title"", ""title"": ""Page title present"", ""status"": ""pass"", ""detail"": ""Title: \""Mynd | The leader in tech-enabled property management and re\"""", ""recommendation"": """"}, {""id"": ""seo_meta"", ""title"": ""Missing meta description"", ""status"": ""fail"", ""detail"": ""Google will auto-generate a snippet, often poorly."", ""recommendation"": ""Write a compelling 150-character meta description per page.""}, {""id"": ""seo_h1"", ""title"": ""Primary heading (H1) present"", ""status"": ""pass"", ""detail"": ""Clear page hierarchy for SEO."", ""recommendation"": """"}, {""id"": ""favicon"", ""title"": ""Favicon present"", ""status"": ""pass"", ""detail"": ""Browser tab branding is set."", ""recommendation"": """"}, {""id"": ""social_tags"", ""title"": ""Missing social preview tags"", ""status"": ""fail"", ""detail"": ""No Open Graph tags \u2014 shared links show a blank/ugly preview."", ""recommendation"": ""Add og:title, og:description and og:image meta tags.""}], ""flaw_count"": 2, ""primary_flaw"": ""Missing meta description""}",https://demo-site-beige-eight.vercel.app/?biz=Great+Jones&city=Orlando&cat=office%3Destate_agent&phone=%2B1-321-766-9360&report=eyJzY29yZSI6IDgwLCAiZ3JhZGUiOiAiQiIsICJpc3N1ZXMiOiBbIk1pc3NpbmcgbWV0YSBkZXNjcmlwdGlvbiIsICJNaXNzaW5nIHNvY2lhbCBwcmV2aWV3IHRhZ3MiXX0%3D,Grade B (80.0/100) — Missing meta description,Mixed reviews.
8834923861,node,The Homes In Orlando Team,+1-407-710-8720,brenden@homesinorlando.forsale,https://www.homesinorlando.forsale,Green Briar Blvd,Altamonte Springs,Florida,32714,office=estate_agent,28.6703741,-81.4120281,website_upgrade,Sluggish load time (1.7s),1,85.0,B,"{""score"": 85, ""grade"": ""B"", ""is_protected"": false, ""error"": null, ""checks"": [{""id"": ""ssl"", ""title"": ""Valid HTTPS"", ""status"": ""pass"", ""detail"": ""Site is served securely over HTTPS."", ""recommendation"": """"}, {""id"": ""speed"", ""title"": ""Sluggish load time (1.7s)"", ""status"": ""fail"", ""detail"": ""Server response is slower than the ~1s users expect."", ""recommendation"": ""Enable caching/CDN and compress assets to cut response time.""}, {""id"": ""mobile"", ""title"": ""Mobile responsive"", ""status"": ""pass"", ""detail"": ""Viewport meta tag is present."", ""recommendation"": """"}, {""id"": ""seo_title"", ""title"": ""Page title present"", ""status"": ""pass"", ""detail"": ""Title: \""Your Data-Driven Guide to Central Florida Real Estate | The \"""", ""recommendation"": """"}, {""id"": ""seo_meta"", ""title"": ""Meta description present"", ""status"": ""pass"", ""detail"": ""Search snippet is controlled, not auto-generated."", ""recommendation"": """"}, {""id"": ""seo_h1"", ""title"": ""Primary heading (H1) present"", ""status"": ""pass"", ""detail"": ""Clear page hierarchy for SEO."", ""recommendation"": """"}, {""id"": ""favicon"", ""title"": ""Favicon present"", ""status"": ""pass"", ""detail"": ""Browser tab branding is set."", ""recommendation"": """"}, {""id"": ""social_tags"", ""title"": ""Social share tags present"", ""status"": ""pass"", ""detail"": ""Links preview correctly on social/chat apps."", ""recommendation"": """"}], ""flaw_count"": 1, ""primary_flaw"": ""Sluggish load time (1.7s)""}",https://demo-site-beige-eight.vercel.app/?biz=The+Homes+In+Orlando+Team&city=Altamonte+Springs&cat=office%3Destate_agent&phone=%2B1-407-710-8720&report=eyJzY29yZSI6IDg1LCAiZ3JhZGUiOiAiQiIsICJpc3N1ZXMiOiBbIlNsdWdnaXNoIGxvYWQgdGltZSAoMS43cykiXX0%3D,Grade B (85.0/100) — Sluggish load time (1.7s),Mixed reviews.
8837015159,node,Orlando Sunshine Realty,+1-407-666-7448,,,,City Not Listed,Florida,,office=estate_agent,28.5514922,-81.450845,no_website,,0,,,,https://demo-site-beige-eight.vercel.app/?biz=Orlando+Sunshine+Realty&city=City+Not+Listed&cat=office%3Destate_agent&phone=%2B1-407-666-7448,No Website,Mixed reviews.
9805588070,node,Advanced Equity Solutions,+1-855-554-0766,,https://advancedequitysolutions.com/,Cranes Roost Blvd.,Altamonte Springs,Florida,32701,office=estate_agent,28.6660379,-81.3826647,website_upgrade,Sluggish load time (1.6s),4,55.0,D,"{""score"": 55, ""grade"": ""D"", ""is_protected"": false, ""error"": null, ""checks"": [{""id"": ""ssl"", ""title"": ""Valid HTTPS"", ""status"": ""pass"", ""detail"": ""Site is served securely over HTTPS."", ""recommendation"": """"}, {""id"": ""speed"", ""title"": ""Sluggish load time (1.6s)"", ""status"": ""fail"", ""detail"": ""Server response is slower than the ~1s users expect."", ""recommendation"": ""Enable caching/CDN and compress assets to cut response time.""}, {""id"": ""mobile"", ""title"": ""Mobile responsive"", ""status"": ""pass"", ""detail"": ""Viewport meta tag is present."", ""recommendation"": """"}, {""id"": ""seo_title"", ""title"": ""Page title present"", ""status"": ""pass"", ""detail"": ""Title: \""Advanced Equity Solutions\"""", ""recommendation"": """"}, {""id"": ""seo_meta"", ""title"": ""Missing meta description"", ""status"": ""fail"", ""detail"": ""Google will auto-generate a snippet, often poorly."", ""recommendation"": ""Write a compelling 150-character meta description per page.""}, {""id"": ""seo_h1"", ""title"": ""Missing primary heading (H1)"", ""status"": ""fail"", ""detail"": ""No H1 \u2014 search engines can't tell what the page is about."", ""recommendation"": ""Add one clear, keyword-relevant H1 per page.""}, {""id"": ""favicon"", ""title"": ""Favicon present"", ""status"": ""pass"", ""detail"": ""Browser tab branding is set."", ""recommendation"": """"}, {""id"": ""social_tags"", ""title"": ""Missing social preview tags"", ""status"": ""fail"", ""detail"": ""No Open Graph tags \u2014 shared links show a blank/ugly preview."", ""recommendation"": ""Add og:title, og:description and og:image meta tags.""}], ""flaw_count"": 4, ""primary_flaw"": ""Sluggish load time (1.6s)""}",https://demo-site-beige-eight.vercel.app/?biz=Advanced+Equity+Solutions&city=Altamonte+Springs&cat=office%3Destate_agent&phone=%2B1-855-554-0766&report=eyJzY29yZSI6IDU1LCAiZ3JhZGUiOiAiRCIsICJpc3N1ZXMiOiBbIlNsdWdnaXNoIGxvYWQgdGltZSAoMS42cykiLCAiTWlzc2luZyBtZXRhIGRlc2NyaXB0aW9uIiwgIk1pc3NpbmcgcHJpbWFyeSBoZWFkaW5nIChIMSkiLCAiTWlzc2luZyBzb2NpYWwgcHJldmlldyB0YWdzIl19,Grade D (55.0/100) — Sluggish load time (1.6s),Mixed reviews.
10765710699,node,EDUrent,+1 855-508-8300,,https://www.edurent.com,West Central Boulevard,Orlando,Florida,32801,office=estate_agent,28.5417535,-81.37978,website_upgrade,Sluggish load time (1.6s),4,55.0,D,"{""score"": 55, ""grade"": ""D"", ""is_protected"": false, ""error"": null, ""checks"": [{""id"": ""ssl"", ""title"": ""Valid HTTPS"", ""status"": ""pass"", ""detail"": ""Site is served securely over HTTPS."", ""recommendation"": """"}, {""id"": ""speed"", ""title"": ""Sluggish load time (1.6s)"", ""status"": ""fail"", ""detail"": ""Server response is slower than the ~1s users expect."", ""recommendation"": ""Enable caching/CDN and compress assets to cut response time.""}, {""id"": ""mobile"", ""title"": ""Mobile responsive"", ""status"": ""pass"", ""detail"": ""Viewport meta tag is present."", ""recommendation"": """"}, {""id"": ""seo_title"", ""title"": ""Page title present"", ""status"": ""pass"", ""detail"": ""Title: \""Edurent\"""", ""recommendation"": """"}, {""id"": ""seo_meta"", ""title"": ""Missing meta description"", ""status"": ""fail"", ""detail"": ""Google will auto-generate a snippet, often poorly."", ""recommendation"": ""Write a compelling 150-character meta description per page.""}, {""id"": ""seo_h1"", ""title"": ""Missing primary heading (H1)"", ""status"": ""fail"", ""detail"": ""No H1 \u2014 search engines can't tell what the page is about."", ""recommendation"": ""Add one clear, keyword-relevant H1 per page.""}, {""id"": ""favicon"", ""title"": ""Favicon present"", ""status"": ""pass"", ""detail"": ""Browser tab branding is set."", ""recommendation"": """"}, {""id"": ""social_tags"", ""title"": ""Missing social preview tags"", ""status"": ""fail"", ""detail"": ""No Open Graph tags \u2014 shared links show a blank/ugly preview."", ""recommendation"": ""Add og:title, og:description and og:image meta tags.""}], ""flaw_count"": 4, ""primary_flaw"": ""Sluggish load time (1.6s)""}",https://demo-site-beige-eight.vercel.app/?biz=EDUrent&city=Orlando&cat=office%3Destate_agent&phone=%2B1+855-508-8300&report=eyJzY29yZSI6IDU1LCAiZ3JhZGUiOiAiRCIsICJpc3N1ZXMiOiBbIlNsdWdnaXNoIGxvYWQgdGltZSAoMS42cykiLCAiTWlzc2luZyBtZXRhIGRlc2NyaXB0aW9uIiwgIk1pc3NpbmcgcHJpbWFyeSBoZWFkaW5nIChIMSkiLCAiTWlzc2luZyBzb2NpYWwgcHJldmlldyB0YWdzIl19,Grade D (55.0/100) — Sluggish load time (1.6s),Mixed reviews.
11999632905,node,Stockworth Realty Group,+1-407-909-5900,,https://www.stockworth.com/,,City Not Listed,Florida,,office=estate_agent,28.4932405,-81.5080918,website_upgrade,,0,100.0,A,"{""score"": 100, ""grade"": ""A"", ""is_protected"": false, ""error"": null, ""checks"": [{""id"": ""ssl"", ""title"": ""Valid HTTPS"", ""status"": ""pass"", ""detail"": ""Site is served securely over HTTPS."", ""recommendation"": """"}, {""id"": ""speed"", ""title"": ""Fast server response"", ""status"": ""pass"", ""detail"": ""Time-to-first-byte was 0.61s."", ""recommendation"": """"}, {""id"": ""mobile"", ""title"": ""Mobile responsive"", ""status"": ""pass"", ""detail"": ""Viewport meta tag is present."", ""recommendation"": """"}, {""id"": ""seo_title"", ""title"": ""Page title present"", ""status"": ""pass"", ""detail"": ""Title: \""Stockworth Realty Group | Home\"""", ""recommendation"": """"}, {""id"": ""seo_meta"", ""title"": ""Meta description present"", ""status"": ""pass"", ""detail"": ""Search snippet is controlled, not auto-generated."", ""recommendation"": """"}, {""id"": ""seo_h1"", ""title"": ""Primary heading (H1) present"", ""status"": ""pass"", ""detail"": ""Clear page hierarchy for SEO."", ""recommendation"": """"}, {""id"": ""favicon"", ""title"": ""Favicon present"", ""status"": ""pass"", ""detail"": ""Browser tab branding is set."", ""recommendation"": """"}, {""id"": ""social_tags"", ""title"": ""Social share tags present"", ""status"": ""pass"", ""detail"": ""Links preview correctly on social/chat apps."", ""recommendation"": """"}], ""flaw_count"": 0, ""primary_flaw"": """"}",https://demo-site-beige-eight.vercel.app/?biz=Stockworth+Realty+Group&city=City+Not+Listed&cat=office%3Destate_agent&phone=%2B1-407-909-5900&report=eyJzY29yZSI6IDEwMCwgImdyYWRlIjogIkEiLCAiaXNzdWVzIjogW119,Grade A (100.0/100),Mixed reviews.
